; _JN01LM01_FQ; _JN01LM01_QQ; _JN01LM01_T1; _JN01LM01_T2; _JN01LM01_Tdiff; _JN01LM02_FE; _JN01LM02_FQ; _JN01LM02_QQ; _JN01LM02_T1; _JN01LM02_T2; _JN01LM02_Tdiff; _JN01_PE01; _JN01_SC01; _JN01_SC02; _JN01_TE01; _JN01_TE02; _JN01_TE03; _JN01_TE11; _JN01_TE12; _JN01_TE13; _JN01_TE21; _JN01_TV01; _JN02LM01_FE; _JN02LM01_FQ; _JN02LM01_QQ; _JN02LM01_T1; _JN02LM01_T2; _JN02LM01_Tdiff; _JN02_PE01; _JN02_SC01; _JN02_TE01; _JN02_TE02; _JN02_TE11; _JN02_TE12; _HP01LM01_QE; _IV01LM01_QE; _JN01LM01_QE; _JN01LM02_QE; _JN01LM02_QE_postsolar; _JN02LM01_QE; _KS01LM01_QE; _KS01LM02_QE; _LL01LM01_QE; _LP01LM01_QE; _LV01LM01_QE; _OLK_LM01_QE; _kWToHP_QE;Principal Component 1;Principal Component 2;Principal Component 3
 _JN01LM02_Tdiff;-0.21734985692979833;-0.3039663908925041;-0.6930947163017235;-0.6867277465961068;-0.10028301466051295;0.1742820312123788;-0.2103869337479344;-0.23823680095301664;-0.39276475362120367;-0.5497529888278545;1.0;0.43263217292654466;0.6734830610293328;-0.14263813402904835;-0.6838969116450663;-0.6961121125475056;-0.7038236149540112;-0.5464328567025111;-0.3611238506054751;-0.39423918856229656;-0.5440145174875697;0.2917072785355374;0.05754707858595198;-0.12897164393647365;-0.1275999333577903;-0.06191563243939441;-0.2384380050868133;0.3036973504426996;-0.22428240589094556;0.06656359102820758;-0.057940964992108226;-0.2649222977872258;-0.18684221588954672;-0.26997162040528117;0.581091435486027;0.311842176949256;0.3679299683399377;0.5111701138255307;0.8932703647194675;0.13478520518443377;0.23289476474957252;;0.1293517402728509;0.5522865908470911;0.3344319699819641;0.2987523127288791;0.699584099396058;-0.44716086097786545;0.6886475526072372;-0.14646973876055028
 _JN01_PE01;0.5043648096179981;0.31982272523619176;-0.2962051169330886;-0.21634044513715345;-0.14169368902117307;-0.14420391899489002;0.5332877318525487;0.473088824089589;0.2779550583547923;0.16462176752696192;0.43263217292654466;1.0;0.6953580547996573;-0.05596280650909042;-0.20583381028958841;-0.30124867131178823;-0.162255482018284;0.16959872740558588;0.26071223653359177;0.28031112081210285;0.13374937454118524;-0.43061297310046986;0.4082543166797383;0.6103778093519101;0.6020566782671349;0.22497612477636056;0.22311802274898154;0.15082255120706856;0.3035971972714196;0.3992001758427782;0.2106273275724353;0.24713885767557547;0.3187559928580113;0.2750495354471852;-0.05555984570451473;-0.10876820713221891;-0.3994295229276509;-0.1440485589414023;0.2670200215990338;0.37688072510424314;-0.41787571019640946;;-0.43816662353522645;-0.10420539559977023;0.4051310488777752;-0.3480083193477243;0.6404066367973267;0.23887367498121276;0.7519998225437056;-0.46090125532259685
 _JN01_SC01;-0.042036185238335466;-0.23475012774769033;-0.8384044172990766;-0.7812065519533162;-0.26970282544064267;0.09688584488417043;-0.04487904993741556;-0.0885638928539133;-0.3395221048595592;-0.4435327175383788;0.6734830610293328;0.6953580547996573;1.0;-0.05224153671187725;-0.7739360971087197;-0.8416743094066945;-0.7420340542722311;-0.4396954142943095;-0.33271658356280565;-0.334820910206196;-0.486607957090678;-0.1745947856418583;-0.06882220783062978;0.09134119014281691;0.1026647628453029;-0.11110696144815535;-0.2590960146146919;0.2196344450572593;-0.24888349475032634;-0.057724425120423764;-0.09393527671204421;-0.2828112383748209;-0.22171022039452337;-0.30610215275095526;0.43916570131310056;0.0753084359824359;0.10874707101790305;0.31154137971034646;0.6450542773438722;0.04586461308209871;0.11370767918155081;;0.0810906433319773;0.40175229428684456;0.3863026820418012;0.11364706827427871;0.9313341236923416;-0.37551692172458345;0.770060529279747;-0.41764700946140304
 _JN01_SC02;0.11928074095047522;0.1200057335151519;0.13550534498557412;0.15051128887498907;-0.12150626568589737;-0.046730067762927235;0.12571286745912036;0.12308268828293185;0.15067287620878103;0.16425184057777112;-0.14263813402904835;-0.05596280650909042;-0.05224153671187725;1.0;0.15029011753759502;0.13584789399254688;0.14476824816196282;0.15946350620005814;0.14523782296577958;0.1503480689726627;0.16281084782180855;0.05293941870202742;0.07848800496868417;0.1140073452506003;0.10993699686318889;0.007774760864933104;0.0263559474834063;-0.03134375280097819;0.09957072796808039;0.07750092091991075;0.004540357582260186;0.05033798146323407;0.09389759865039303;0.10020456910732764;-0.20072853665419746;-0.3137376217114541;-0.2052852266225884;-0.10780855976454051;-0.12637512357425384;0.04743720386151187;-0.1342227328375948;;-0.07085546791003056;-0.2039331085853542;-0.003219017880313188;-0.22838129992990075;-0.07333789361524949;0.1533803406086464;-0.0970983307552924;-0.11357073715497308
 _JN01_TE01;0.5883313235855284;0.6414276342956785;0.9890408561828689;0.9992838108147294;0.17615883287339956;-0.42769998698305894;0.6010534871719223;0.6112308698200044;0.8386836881719567;0.8966809488232792;-0.6838969116450663;-0.20583381028958841;-0.7739360971087197;0.15029011753759502;1.0;0.9891158733588539;0.990698711016982;0.894763153609125;0.8106413350174947;0.8365150643809228;0.9186101238620716;-0.21811622488646643;0.47409662443687517;0.5070144141286854;0.495614040077682;0.41321908920960676;0.6255384525793224;-0.1512294587011907;0.6880307187756306;0.45566086922050697;0.3812103365610911;0.6830778466999452;0.6675236256810089;0.7503306623844203;-0.8520011967635785;-0.40592288734973264;-0.687594413158235;-0.716411870474514;-0.841318245375855;0.2860610968300645;-0.631576180289319;;-0.5019424668995391;-0.836036900291004;-0.26750606058457865;-0.6264672270877175;-0.7855735386518761;0.8562355619979158;-0.4746292767964613;0.14247069334642934
 _JN01_TE02;0.5011565714111307;0.5797767728272005;0.9998002772699413;0.9892956778549192;0.1648270222545432;-0.3787397094555565;0.5154357452345589;0.5290711932842441;0.7689630897353708;0.8361805551497352;-0.6961121125475056;-0.30124867131178823;-0.8416743094066945;0.13584789399254688;0.9891158733588539;1.0;0.9774382676638799;0.8337115990708769;0.7381787317801658;0.7660485775795861;0.8673213350563466;-0.1251731221199197;0.405532133212367;0.4129633388321835;0.4006265600351977;0.35606999359012886;0.5682235471103956;-0.18752325625873306;0.6176768635095315;0.386690658497146;0.32528393455172394;0.6214784117662109;0.5950177880393763;0.6834148046024726;-0.7905826434373967;-0.3513181014036658;-0.5806658744771077;-0.6419768814432042;-0.822607984341675;0.2146204628223636;-0.5539083277418877;;-0.4386328264602351;-0.7718121123278374;-0.2819583982496905;-0.5474457027069485;-0.8416133384455446;0.7862087909369906;-0.5540836690221301;0.18387143608932324
 _JN01_TE03;0.6088437185496296;0.635236698884147;0.9778175898529409;0.9905184446037645;0.22751837486964502;-0.3652086281068708;0.6182478337040445;0.6243851683330294;0.8596701765750017;0.9191810854090687;-0.7038236149540112;-0.162255482018284;-0.7420340542722311;0.14476824816196282;0.990698711016982;0.9774382676638799;1.0;0.9175061069591357;0.8291087525330234;0.857295302254683;0.9407019103809033;-0.3145747962327881;0.48941544094445333;0.5409101070112534;0.5338299072442819;0.4566946105325717;0.6677271879914353;-0.12080332586000174;0.7187213755765429;0.4664123040837341;0.42549301165582204;0.7210239550138997;0.6984832835289734;0.77723160327917;-0.8339053987501943;-0.3971852376557436;-0.7048755830622857;-0.7539630463626488;-0.8438465849947816;0.31320957624145;-0.6369038329666731;;-0.504845270035175;-0.8170441318737302;-0.27240390129178066;-0.6266453763875467;-0.7359820328133854;0.87398456712435;-0.4255771334070394;0.17262177332894346
 _JN01_TE11;0.7911244494784632;0.7340786346143395;0.8347591365309862;0.8921193298872232;0.1461791676208952;-0.4829639240278845;0.7998613545833988;0.7894703988858085;0.9845757956410295;0.9997860007745568;-0.5464328567025111;0.16959872740558588;-0.4396954142943095;0.15946350620005814;0.894763153609125;0.8337115990708769;0.9175061069591357;1.0;0.9594818414495035;0.9846733260028765;0.9898294467899368;-0.4897787380236579;0.6714236031464935;0.7610656161050705;0.7567252588896591;0.5919196307120086;0.7781216052103547;0.014317963451219667;0.8662785515059792;0.6492731964915015;0.5592186516712017;0.8382403662605248;0.8551030654152035;0.9103940075572032;-0.8987064254329037;-0.5082730207694448;-0.9027512283732096;-0.8656165420008596;-0.7669455415197545;0.5082713684883079;-0.7954553673496998;;-0.6342585027898943;-0.8943687874448837;-0.17576425505155072;-0.7878019998324948;-0.44190316913951966;0.9812205112765562;-0.11073832512513242;0.022674307839085018
 _JN01_TE12;0.7782699463043721;0.7157518960630515;0.73904997241652;0.8070514009378182;0.1522648675944268;-0.47235705306237175;0.7855291818576138;0.7758457048905888;0.97826463145921;0.9580588778270657;-0.3611238506054751;0.26071223653359177;-0.33271658356280565;0.14523782296577958;0.8106413350174947;0.7381787317801658;0.8291087525330234;0.9594818414495035;1.0;0.9797011179226309;0.9438873490142015;-0.48144473059127063;0.8188013359325204;0.7506098486214876;0.7448944106928096;0.7208779539126433;0.843285113150184;0.22027913176219685;0.9562486983045307;0.8069332377875524;0.6928313937764582;0.9036596531862467;0.9556370301598355;0.9741761839450501;-0.8422548937795851;-0.488104033728237;-0.9031176491688597;-0.8897310138192347;-0.6268095786668718;0.7086179972202603;-0.792831067947299;;-0.6576591229791816;-0.84243367589379;-0.12867058017578165;-0.7775681977899085;-0.3127500493110332;0.9810431572530325;0.09284923142235109;0.08933051661624035
 _JN01_TE13;0.8255778193115324;0.7450835563953413;0.7675377686638865;0.8328784510466424;0.12694062272212242;-0.5033107614302101;0.8360868590956821;0.8194570535803302;0.9993430079615079;0.9836702459689415;-0.39423918856229656;0.28031112081210285;-0.334820910206196;0.1503480689726627;0.8365150643809228;0.7660485775795861;0.857295302254683;0.9846733260028765;0.9797011179226309;1.0;0.9727451292662935;-0.47773353593962853;0.749196286745826;0.8099816213560862;0.8055522837960634;0.6338813488045256;0.8009472663806751;0.07817640998300472;0.9055766225516646;0.7303539344626411;0.6006676471697384;0.8634871511467938;0.9009010251234248;0.9434742740762702;-0.8703263000050044;-0.5001506246417301;-0.9193115496418236;-0.8469190340508744;-0.6589376738963282;0.5875178732553547;-0.8265258173715502;;-0.6710325717383807;-0.871751004481016;-0.12245930823014767;-0.8068966909846461;-0.33379250254890713;0.9850256808784671;0.02416579946182822;-0.013678865235819302
